##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_964306655.1	PRJNA224116	SAMEA116302636	CAYAXW000000000.1	na	1406512	1406512	Candidatus Methanomassiliicoccus intestinalis	na	EST-A-0097	latest	Contig	Major	Full	2024-11-07	EST-A-0097_Methanomassiliicoccus_A-sp905203995	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964306655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/306/655/GCF_964306655.1_EST-A-0097_Methanomassiliicoccus_A-sp905203995	na	na	na	haploid	archaea	1384136	1384136	45.500000	0	8	8	NCBI RefSeq	GCF_964306655.1-RS_2024_11_09	2024-11-09	1371	1312	43	na
GCF_964306695.1	PRJNA224116	SAMEA116300929	CAYAYE000000000.1	na	1406512	1406512	Candidatus Methanomassiliicoccus intestinalis	na	EST-A-0088	latest	Contig	Major	Full	2024-11-07	EST-A-0088_Methanomassiliicoccus_A-intestinalis	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964306695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/306/695/GCF_964306695.1_EST-A-0088_Methanomassiliicoccus_A-intestinalis	na	na	na	haploid	archaea	1842347	1842347	41.500000	0	43	43	NCBI RefSeq	GCF_964306695.1-RS_2024_11_09	2024-11-09	1914	1837	52	na
GCF_964307595.1	PRJNA224116	SAMEA116300935	CAYBCB000000000.1	na	1406512	1406512	Candidatus Methanomassiliicoccus intestinalis	na	EST-A-0094	latest	Contig	Major	Full	2024-11-07	EST-A-0094_Methanomassiliicoccus_A-intestinalis	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964307595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/307/595/GCF_964307595.1_EST-A-0094_Methanomassiliicoccus_A-intestinalis	na	na	na	haploid	archaea	1574703	1574703	41.500000	0	54	54	NCBI RefSeq	GCF_964307595.1-RS_2024_11_09	2024-11-09	1647	1568	48	na
GCF_964307605.1	PRJNA224116	SAMEA116300930	CAYBCC000000000.1	na	1406512	1406512	Candidatus Methanomassiliicoccus intestinalis	na	EST-A-0089	latest	Contig	Major	Full	2024-11-07	EST-A-0089_Methanomassiliicoccus_A-intestinalis	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964307605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/307/605/GCF_964307605.1_EST-A-0089_Methanomassiliicoccus_A-intestinalis	na	na	na	haploid	archaea	1703119	1703119	41.500000	0	44	44	NCBI RefSeq	GCF_964307605.1-RS_2024_11_08	2024-11-08	1753	1690	49	na
GCF_964307615.1	PRJNA224116	SAMEA116300932	CAYBCA000000000.1	na	1406512	1406512	Candidatus Methanomassiliicoccus intestinalis	na	EST-A-0091	latest	Contig	Major	Full	2024-11-07	EST-A-0091_Methanomassiliicoccus_A-intestinalis	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964307615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/307/615/GCF_964307615.1_EST-A-0091_Methanomassiliicoccus_A-intestinalis	na	na	na	haploid	archaea	1814224	1814224	41.500000	0	19	19	NCBI RefSeq	GCF_964307615.1-RS_2025_12_02	2025-12-02	1852	1788	51	na
GCF_964307635.1	PRJNA224116	SAMEA116302635	CAYBCE000000000.1	na	1406512	1406512	Candidatus Methanomassiliicoccus intestinalis	na	EST-A-0096	latest	Contig	Major	Full	2024-11-07	EST-A-0096_Methanomassiliicoccus_A-sp905203995	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964307635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/307/635/GCF_964307635.1_EST-A-0096_Methanomassiliicoccus_A-sp905203995	na	na	na	haploid	archaea	1688581	1688581	45.000000	0	84	84	NCBI RefSeq	GCF_964307635.1-RS_2024_11_10	2024-11-10	1718	1638	48	na
GCF_000723185.1	PRJNA224116	SAMEA3139018	CBTY000000000.1	reference genome	1407055	1407055	Candidatus Nitrosotenuis uzonensis	strain=N4	na	latest	Contig	Major	Full	2013-12-05	APF_1883_PRJEB4650	Genoscope CEA	GCA_000723185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/185/GCF_000723185.1_APF_1883_PRJEB4650	na	na	na	haploid	archaea	1636125	1636125	42.000000	0	14	14	NCBI RefSeq	GCF_000723185.1-RS_2025_03_31	2025-03-31	1967	1913	50	24278328
GCF_905220655.1	PRJNA224116	SAMEA7992919	CAJNAQ000000000.1	na	1407055	1407055	Candidatus Nitrosotenuis uzonensis	na	Candidatus Nitrosotenuis uzonensis 5A	latest	Contig	Major	Full	2021-02-14	NU5A1	EAST CHINA NORMAL UNIVERSITY	GCA_905220655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/220/655/GCF_905220655.1_NU5A1	na	na	na	haploid	archaea	1814860	1814860	42.000000	0	8	8	NCBI RefSeq	GCF_905220655.1-RS_2025_03_31	2025-03-31	2155	2095	52	na
GCF_001488575.1	PRJNA224116	SAMEA3305703	na	reference genome	1407499	1407499	Halobacterium hubeiense	strain=JI20-1	na	latest	Complete Genome	Major	Full	2015-12-17	Halobacterium hubeiense JI20-1	UH	GCA_001488575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/488/575/GCF_001488575.1_Halobacterium_hubeiense_JI20-1	na	assembly from type material	na	haploid	archaea	3130345	3130345	66.500000	4	4	4	NCBI RefSeq	GCF_001488575.1-RS_2025_11_20	2025-11-20	3370	3279	52	na
GCF_049705405.1	PRJNA224116	SAMN47737820	JBNAMR000000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=MBLA0010	na	latest	Scaffold	Major	Full	2025-04-16	ASM4970540v1	Incheon National University	GCA_049705405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/705/405/GCF_049705405.1_ASM4970540v1	na	na	na	haploid	archaea	2973861	2973861	68.000000	2	5	5	NCBI RefSeq	GCF_049705405.1-RS_2025_04_17	2025-04-17	3217	3105	51	na
GCF_900003505.1	PRJNA224116	SAMEA3268806	CEMN00000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=JI20-3	na	latest	Scaffold	Major	Full	2016-04-25	ASM90000350v1	UH	GCA_900003505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/505/GCF_900003505.1_ASM90000350v1	na	na	na	haploid	archaea	3235778	3227747	66.500000	0	16	132	NCBI RefSeq	GCF_900003505.1-RS_2025_12_02	2025-12-02	3553	3407	51	na
GCF_900003515.1	PRJNA224116	SAMEA3268805	CEMO00000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=JI20-2	na	latest	Scaffold	Major	Full	2016-04-25	ASM90000351v1	UH	GCA_900003515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/515/GCF_900003515.1_ASM90000351v1	na	na	na	haploid	archaea	3237480	3226454	66.500000	0	10	174	NCBI RefSeq	GCF_900003515.1-RS_2024_10_22	2024-10-22	3562	3412	51	na
GCF_900003525.1	PRJNA224116	SAMEA3268810	CEMQ00000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=JI20-7	na	latest	Scaffold	Major	Full	2016-04-25	ASM90000352v1	UH	GCA_900003525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/525/GCF_900003525.1_ASM90000352v1	na	na	na	haploid	archaea	3235308	3229115	66.500000	0	12	139	NCBI RefSeq	GCF_900003525.1-RS_2024_10_22	2024-10-22	3557	3401	52	na
GCF_900003565.1	PRJNA224116	SAMEA3268809	CEMP00000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=JI20-6	na	latest	Scaffold	Major	Full	2016-04-25	ASM90000356v1	UH	GCA_900003565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/565/GCF_900003565.1_ASM90000356v1	na	na	na	haploid	archaea	3235173	3229177	66.500000	0	10	147	NCBI RefSeq	GCF_900003565.1-RS_2024_10_22	2024-10-22	3554	3399	51	na
GCF_900003575.1	PRJNA224116	SAMEA3268807	CEML00000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=JI20-4	na	latest	Scaffold	Major	Full	2016-04-25	ASM90000357v1	UH	GCA_900003575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/003/575/GCF_900003575.1_ASM90000357v1	na	na	na	haploid	archaea	3233415	3227778	66.500000	0	18	130	NCBI RefSeq	GCF_900003575.1-RS_2024_10_22	2024-10-22	3545	3395	52	na
GCF_900004275.1	PRJNA224116	SAMEA3268811	CEMZ00000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=JI20-8	na	latest	Scaffold	Major	Full	2016-04-25	ASM90000427v1	UH	GCA_900004275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/004/275/GCF_900004275.1_ASM90000427v1	na	na	na	haploid	archaea	3238275	3227942	66.500000	0	11	139	NCBI RefSeq	GCF_900004275.1-RS_2024_10_22	2024-10-22	3551	3399	52	na
GCF_900005775.1	PRJNA224116	SAMEA3268808	CEMR00000000.1	na	1407499	1407499	Halobacterium hubeiense	strain=JI20-5	na	latest	Scaffold	Major	Full	2016-04-25	ASM90000577v1	UH	GCA_900005775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/775/GCF_900005775.1_ASM90000577v1	na	na	na	haploid	archaea	3233653	3229355	66.500000	0	15	128	NCBI RefSeq	GCF_900005775.1-RS_2024_10_22	2024-10-22	3539	3393	52	na
GCF_000812185.1	PRJNA224116	SAMN03273964	na	reference genome	1410606	1410606	Candidatus Nitrosopelagicus brevis	strain=CN25	na	latest	Complete Genome	Major	Full	2014-12-31	ASM81218v1	J. Craig Venter Institute	GCA_000812185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/185/GCF_000812185.1_ASM81218v1	na	na	na	haploid	archaea	1232128	1232128	33.000000	1	1	1	NCBI RefSeq	GCF_000812185.1-RS_2025_08_11	2025-08-11	1506	1456	47	25587132
GCF_003045125.1	PRJNA224116	SAMN04990266	LXWN00000000.1	na	1410606	1410606	Candidatus Nitrosopelagicus brevis	strain=U25	na	latest	Contig	Major	Full	2018-04-09	CN25urea_metaspades	J. Craig Venter Institute	GCA_003045125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/045/125/GCF_003045125.1_CN25urea_metaspades	na	na	na	haploid	archaea	1245544	1245544	33.000000	0	3	3	NCBI RefSeq	GCF_003045125.1-RS_2025_04_27	2025-04-27	1526	1477	47	na
GCF_000621965.1	PRJNA224116	SAMN02744021	JHWX00000000.1	reference genome	1410664	190977	Methanobrevibacter wolinii SH	strain=SH	na	latest	Scaffold	Major	Full	2014-04-08	ASM62196v1	DOE Joint Genome Institute	GCA_000621965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/965/GCF_000621965.1_ASM62196v1	na	assembly from type material	na	haploid	archaea	2041814	2038673	24.000000	0	26	36	NCBI RefSeq	GCF_000621965.1-RS_2025_11_21	2025-11-21	1764	1688	43	na
GCF_000529525.1	PRJNA224116	SAMEA3138857	CBWS000000000.1	na	1415626	66851	Methanobrevibacter oralis JMR01	strain=JMR01	na	latest	Scaffold	Major	Full	2014-01-15	Methanobrevibacter oralis JMR01	URMITE	GCA_000529525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/529/525/GCF_000529525.1_Methanobrevibacter_oralis_JMR01	na	na	na	haploid	archaea	2107831	2083511	28.000000	0	14	60	NCBI RefSeq	GCF_000529525.1-RS_2024_10_21	2024-10-21	2186	1895	40	na
GCF_000504565.1	PRJNA224116	SAMN02393367	na	na	1417673	51589	Haloarcula hispanica N601	strain=N601	na	latest	Complete Genome	Major	Full	2014-01-09	ASM50456v2	Academia Sinica, Taipei, Taiwan	GCA_000504565.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/565/GCF_000504565.1_ASM50456v2	na	na	na	haploid	archaea	3901495	3901495	62.500000	4	4	4	NCBI RefSeq	GCF_000504565.1-RS_2024_10_21	2024-10-21	3954	3834	60	24625874
GCF_001261915.1	PRJNA224116	SAMEA3432861	CVRT00000000.1	na	1419722	1419722	Halorubrum sp. SD626R	strain=SD626R	na	latest	Scaffold	Major	Full	2015-07-30	Halorubrum SD626R	University seville	GCA_001261915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/261/915/GCF_001261915.1_Halorubrum_SD626R	na	na	na	haploid	archaea	3248714	3247879	67.500000	0	159	160	NCBI RefSeq	GCF_001261915.1-RS_2024_10_22	2024-10-22	3353	3167	55	na
GCF_005435185.1	PRJNA224116	SAMN10910417	SGTW00000000.1	na	1419722	1419722	Halorubrum sp. SD626R	strain=SD626R	na	latest	Scaffold	Major	Full	2019-05-16	ASM543518v1	University of Connecticut	GCA_005435185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/435/185/GCF_005435185.1_ASM543518v1	na	na	na	haploid	archaea	5822829	5822419	67.000000	0	1411	1452	NCBI RefSeq	GCF_005435185.1-RS_2024_10_23	2024-10-23	6805	6006	104	30893937
GCF_014647235.1	PRJNA224116	SAMD00245267	BMOU00000000.1	na	1427151	1427151	Haloarcula pellucida	strain=JCM 17820	na	latest	Contig	Major	Full	2020-09-12	ASM1464723v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_014647235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/647/235/GCF_014647235.1_ASM1464723v1	na	assembly from type material	na	haploid	archaea	3961411	3961411	65.500000	0	44	44	NCBI RefSeq	GCF_014647235.1-RS_2025_05_03	2025-05-03	4133	4004	61	30832757
GCF_019599515.1	PRJNA224116	SAMN10397914	RKLW00000000.1	reference genome	1427151	1427151	Haloarcula pellucida	strain=CECT 7537	na	latest	Contig	Major	Full	2021-08-14	ASM1959951v1	University of Sevilla, Spain	GCA_019599515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/599/515/GCF_019599515.1_ASM1959951v1	na	assembly from type material	na	haploid	archaea	3926279	3926279	65.500000	0	8	8	NCBI RefSeq	GCF_019599515.1-RS_2025_03_29	2025-03-29	4116	3999	52	na
GCF_010119195.1	PRJNA224116	SAMN13386515	WRXL00000000.1	reference genome	1429914	1429914	Haloarcula salina	strain=YGHS18	na	latest	Scaffold	Major	Full	2020-02-03	ASM1011919v1	Anhui Normal University	GCA_010119195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/119/195/GCF_010119195.1_ASM1011919v1	na	assembly from type material	na	haploid	archaea	3788104	3787729	66.500000	0	14	16	NCBI RefSeq	GCF_010119195.1-RS_2025_11_21	2025-11-21	3876	3799	50	25721722
GCF_019061225.1	PRJNA224116	SAMN19844807	JAHQXE000000000.1	na	1429914	1429914	Haloarcula salina	strain=JCM 18369	na	latest	Contig	Major	Full	2021-06-29	ASM1906122v1	University of Sevilla, Spain	GCA_019061225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/061/225/GCF_019061225.1_ASM1906122v1	na	assembly from type material	na	haploid	archaea	3798620	3798620	66.500000	0	11	11	NCBI RefSeq	GCF_019061225.1-RS_2025_12_02	2025-12-02	3901	3829	52	na
GCF_049603855.1	PRJNA224116	SAMN47739213	na	na	1429914	1429914	Haloarcula salina	strain=MBLA0135	na	latest	Complete Genome	Major	Full	2025-04-20	MBLA0135	Incheon National University	GCA_049603855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/603/855/GCF_049603855.1_MBLA0135	na	na	na	haploid	archaea	4081535	4081535	65.500000	5	5	5	NCBI RefSeq	GCF_049603855.1-RS_2025_04_17	2025-04-17	4103	4010	55	na
GCF_010119205.1	PRJNA224116	SAMN13386517	WRXM00000000.1	reference genome	1429915	1429915	Haloarcula limicola	strain=YGHS32	na	latest	Contig	Major	Full	2020-02-03	ASM1011920v1	Anhui Normal University	GCA_010119205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/119/205/GCF_010119205.1_ASM1011920v1	na	assembly from type material	na	haploid	archaea	3906684	3906684	66.000000	0	7	7	NCBI RefSeq	GCF_010119205.1-RS_2025_04_04	2025-04-04	3974	3891	52	24554639
GCF_019061235.1	PRJNA224116	SAMN19844820	JAHQXF000000000.1	na	1429915	1429915	Haloarcula limicola	strain=JCM 183640	na	latest	Contig	Major	Full	2021-06-29	ASM1906123v1	University of Sevilla, Spain	GCA_019061235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/061/235/GCF_019061235.1_ASM1906123v1	na	na	na	haploid	archaea	3904802	3904802	66.000000	0	5	5	NCBI RefSeq	GCF_019061235.1-RS_2025_07_21	2025-07-21	3976	3896	51	na
GCF_017874375.1	PRJNA224116	SAMN18247105	JAGGLK000000000.1	reference genome	1431282	1431282	Methanohalophilus levihalophilus	strain=DSM 28452	na	latest	Contig	Major	Full	2021-04-08	ASM1787437v1	DOE Joint Genome Institute	GCA_017874375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/874/375/GCF_017874375.1_ASM1787437v1	na	assembly from type material	na	haploid	archaea	2116010	2116010	42.500000	0	5	5	NCBI RefSeq	GCF_017874375.1-RS_2025_11_20	2025-11-20	2267	2198	50	na
GCF_000816105.1	PRJNA224116	SAMN02429659	na	reference genome	1432656	110164	Thermococcus guaymasensis DSM 11113	strain=DSM 11113	na	latest	Complete Genome	Major	Full	2015-01-07	ASM81610v1	University of Waterloo	GCA_000816105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/105/GCF_000816105.1_ASM81610v1	na	assembly from type material	na	haploid	archaea	1920914	1920914	53.000000	1	1	1	NCBI RefSeq	GCF_000816105.1-RS_2025_11_21	2025-11-21	2158	2083	52	na
GCF_024494655.1	PRJNA224116	SAMN29911662	JANHDL000000000.1	reference genome	1433523	1433523	Halorubrum laminariae	strain=R60	na	latest	Contig	Major	Full	2022-07-30	ASM2449465v1	Jiangsu University	GCA_024494655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/494/655/GCF_024494655.1_ASM2449465v1	na	assembly from type material	na	haploid	archaea	3621885	3621885	63.000000	0	42	42	NCBI RefSeq	GCF_024494655.1-RS_2025_05_12	2025-05-12	3713	3544	57	na
GCF_042677845.1	PRJNA224116	SAMN43282693	JBHUDB000000000.1	na	1433523	1433523	Halorubrum laminariae	strain=CGMCC 1.12689	na	latest	Scaffold	Major	Full	2024-10-06	ASM4267784v1	Institution of Microbiology, Chinese Academy of Science(WDCM)	GCA_042677845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/677/845/GCF_042677845.1_ASM4267784v1	na	assembly from type material	na	haploid	archaea	3574557	3572857	63.000000	0	44	90	NCBI RefSeq	GCF_042677845.1-RS_2025_03_02	2025-03-02	3673	3501	56	30832757
GCF_000969945.1	PRJNA224116	SAMN03074590	na	na	1434099	1434099	Methanosarcina sp. Kolksee	strain=Kolksee	na	latest	Complete Genome	Major	Full	2015-04-07	ASM96994v1	University of Illinois at Urbana-Champaign	GCA_000969945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/945/GCF_000969945.1_ASM96994v1	na	na	na	haploid	archaea	4553495	4553495	40.000000	2	2	2	NCBI RefSeq	GCF_000969945.1-RS_2024_10_21	2024-10-21	3832	3652	71	na
GCF_000970045.1	PRJNA224116	SAMN03074591	na	na	1434100	1434100	Methanosarcina sp. MTP4	strain=MTP4	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97004v1	University of Illinois at Urbana-Champaign	GCA_000970045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/045/GCF_000970045.1_ASM97004v1	na	na	na	haploid	archaea	4211468	4211468	46.000000	1	1	1	NCBI RefSeq	GCF_000970045.1-RS_2024_10_21	2024-10-21	3561	3438	67	na
GCF_000970005.1	PRJNA224116	SAMN03074593	na	na	1434102	1434102	Methanosarcina sp. WH1	strain=WH1	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97000v1	University of Illinois at Urbana-Champaign	GCA_000970005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/005/GCF_000970005.1_ASM97000v1	na	na	na	haploid	archaea	3914091	3914091	42.000000	1	1	1	NCBI RefSeq	GCF_000970005.1-RS_2024_10_21	2024-10-21	3531	3316	67	na
GCF_000969965.1	PRJNA224116	SAMN03074594	na	na	1434103	1434103	Methanosarcina sp. WWM596	strain=WWM596	na	latest	Complete Genome	Major	Full	2015-04-07	ASM96996v1	University of Illinois at Urbana-Champaign	GCA_000969965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/965/GCF_000969965.1_ASM96996v1	na	na	na	haploid	archaea	4137337	4137337	41.500000	1	1	1	NCBI RefSeq	GCF_000969965.1-RS_2024_10_21	2024-10-21	3773	3543	69	na
GCF_000970325.1	PRJNA224116	SAMN03074571	na	na	1434104	2226	Methanococcoides methylutens MM1	strain=MM1	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97032v1	University of Illinois at Urbana-Champaign	GCA_000970325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/325/GCF_000970325.1_ASM97032v1	na	na	na	haploid	archaea	2394636	2394636	44.000000	1	1	1	NCBI RefSeq	GCF_000970325.1-RS_2024_10_21	2024-10-21	2384	2297	67	na
GCF_000970065.1	PRJNA224116	SAMN03074573	na	na	1434106	2208	Methanosarcina barkeri 227	strain=227	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97006v1	University of Illinois at Urbana-Champaign	GCA_000970065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/065/GCF_000970065.1_ASM97006v1	na	na	na	haploid	archaea	4487566	4487566	39.000000	2	2	2	NCBI RefSeq	GCF_000970065.1-RS_2025_12_02	2025-12-02	3823	3597	71	na
GCF_000970305.1	PRJNA224116	SAMN03074574	na	na	1434107	2208	Methanosarcina barkeri 3	strain=3	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97030v1	University of Illinois at Urbana-Champaign	GCA_000970305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/305/GCF_000970305.1_ASM97030v1	na	na	na	haploid	archaea	4560446	4560446	39.000000	1	1	1	NCBI RefSeq	GCF_000970305.1-RS_2024_10_21	2024-10-21	3858	3736	68	na
GCF_000970025.1	PRJNA224116	SAMN03074575	na	reference genome	1434108	2208	Methanosarcina barkeri MS	strain=MS	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97002v1	University of Illinois at Urbana-Champaign	GCA_000970025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/025/GCF_000970025.1_ASM97002v1	na	assembly from type material	na	haploid	archaea	4574907	4574907	39.000000	2	2	2	NCBI RefSeq	GCF_000970025.1-RS_2025_11_20	2025-11-20	3847	3635	69	na
GCF_000969985.1	PRJNA224116	SAMN03074576	na	na	1434109	2208	Methanosarcina barkeri str. Wiesmoor	strain=Wiesmoor	na	latest	Complete Genome	Major	Full	2015-04-07	ASM96998v1	University of Illinois at Urbana-Champaign	GCA_000969985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/985/GCF_000969985.1_ASM96998v1	na	na	na	haploid	archaea	4907186	4907186	39.000000	2	2	2	NCBI RefSeq	GCF_000969985.1-RS_2024_10_21	2024-10-21	4109	3862	73	na
GCF_000970285.1	PRJNA224116	SAMN03074578	na	reference genome	1434110	418008	Methanosarcina horonobensis HB-1 = JCM 15518	strain=HB-1	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97028v1	University of Illinois at Urbana-Champaign	GCA_000970285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/285/GCF_000970285.1_ASM97028v1	na	assembly from type material	na	haploid	archaea	5018607	5018607	41.500000	1	1	1	NCBI RefSeq	GCF_000970285.1-RS_2025_11_21	2025-11-21	4542	4371	69	na
GCF_001316205.1	PRJNA224116	SAMD00000526	BBCW00000000.1	na	1434110	418008	Methanosarcina horonobensis HB-1 = JCM 15518	strain=JCM 15518	na	latest	Contig	Major	Full	2015-10-06	ASM131620v1	The University of Tokyo	GCA_001316205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/316/205/GCF_001316205.1_ASM131620v1	na	assembly from type material	na	haploid	archaea	4926839	4926839	41.000000	0	178	178	NCBI RefSeq	GCF_001316205.1-RS_2025_12_02	2025-12-02	6338	5180	60	na
GCF_000970265.1	PRJNA224116	SAMN03074579	na	reference genome	1434111	170861	Methanosarcina lacustris Z-7289	strain=Z-7289	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97026v1	University of Illinois at Urbana-Champaign	GCA_000970265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/265/GCF_000970265.1_ASM97026v1	na	na	na	haploid	archaea	4139808	4139808	42.000000	1	1	1	NCBI RefSeq	GCF_000970265.1-RS_2025_11_21	2025-11-21	3524	3338	67	na
GCF_000970245.1	PRJNA224116	SAMN03074581	na	na	1434113	2209	Methanosarcina mazei C16	strain=C16	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97024v1	University of Illinois at Urbana-Champaign	GCA_000970245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/245/GCF_000970245.1_ASM97024v1	na	assembly from heterotypic synonym type material	na	haploid	archaea	4166241	4166241	41.500000	1	1	1	NCBI RefSeq	GCF_000970245.1-RS_2024_10_21	2024-10-21	3583	3401	69	na
GCF_000970225.1	PRJNA224116	SAMN03074582	na	na	1434114	2209	Methanosarcina mazei LYC	strain=LYC	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97022v1	University of Illinois at Urbana-Champaign	GCA_000970225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/225/GCF_000970225.1_ASM97022v1	na	na	na	haploid	archaea	4154344	4154344	41.500000	1	1	1	NCBI RefSeq	GCF_000970225.1-RS_2024_10_21	2024-10-21	3594	3447	68	na
GCF_000970185.1	PRJNA224116	SAMN03074584	na	na	1434115	2209	Methanosarcina mazei SarPi	strain=SarPi	na	latest	Complete Genome	Major	Full	2015-04-07	ASM97018v1	University of Illinois at Urbana-Champaign	GCA_000970185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/185/GCF_000970185.1_ASM97018v1	na	na	na	haploid	archaea	4066551	4066551	41.500000	1	1	1	NCBI RefSeq	GCF_000970185.1-RS_2024_10_21	2024-10-21	3477	3332	68	na
